iter	Passed	Remaining
1228	3348	9120
1229	3349	9114
1230	3350	9107
1231	3352	9101
1232	3353	9095
1233	3355	9089
1234	3358	9087
1235	3359	9082
1236	3361	9077
1237	3363	9072
1238	3365	9066
1239	3366	9060
1240	3368	9054
1241	3370	9049
1242	3372	9045
1243	3374	9039
1244	3375	9034
1245	3377	9030
1246	3379	9024
1247	3381	9019
1248	3382	9013
1249	3383	9006
1250	3385	9001
1251	3389	9000
1252	3390	8994
1253	3391	8988
1254	3393	8982
1255	3394	8976
1256	3396	8970
1257	3397	8964
1258	3399	8958
1259	3404	8961
1260	3406	8957
1261	3408	8952
1262	3410	8947
1263	3412	8943
1264	3413	8937
1265	3415	8931
1266	3417	8928
1267	3419	8924
1268	3421	8919
1269	3423	8914
1270	3426	8913
1271	3427	8906
1272	3429	8900
1273	3430	8894
1274	3432	8889
1275	3436	8890
1276	3439	8887
1277	3442	8885
1278	3443	8879
1279	3445	8873
1280	3446	8867
1281	3448	8862
1282	3451	8862
1283	3453	8856
1284	3454	8849
1285	3456	8844
1286	3457	8838
1287	3459	8832
1288	3460	8826
1289	3461	8820
1290	3463	8815
1291	3465	8811
1292	3467	8806
1293	3469	8801
1294	3470	8795
1295	3471	8789
1296	3473	8783
1297	3474	8777
1298	3476	8772
1299	3477	8766
1300	3479	8762
1301	3482	8758
1302	3484	8754
1303	3486	8749
1304	3487	8744
1305	3489	8738
1306	3490	8732
1307	3491	8726
1308	3492	8720
1309	3494	8714
1310	3495	8709
1311	3499	8707
1312	3500	8702
1313	3502	8696
1314	3503	8690
1315	3504	8684
1316	3505	8678
1317	3507	8672
1318	3508	8666
1319	3510	8663
1320	3512	8657
1321	3513	8651
1322	3515	8646
1323	3516	8640
1324	3518	8635
1325	3519	8628
1326	3521	8623
1327	3522	8617
1328	3523	8611
1329	3525	8606
1330	3528	8603
1331	3529	8598
1332	3530	8592
1333	3532	8586
1334	3533	8580
1335	3534	8574
1336	3535	8568
1337	3537	8564
1338	3539	8559
1339	3540	8552
1340	3543	8550
1341	3545	8545
1342	3546	8540
1343	3548	8535
1344	3549	8529
1345	3550	8523
1346	3552	8518
1347	3554	8513
1348	3555	8507
1349	3556	8501
1350	3559	8498
1351	3560	8493
1352	3562	8488
1353	3563	8483
1354	3565	8477
1355	3566	8472
1356	3567	8466
1357	3569	8460
1358	3570	8455
1359	3572	8449
1360	3574	8445
1361	3576	8442
1362	3578	8437
1363	3580	8434
1364	3581	8428
1365	3583	8423
1366	3584	8417
1367	3586	8412
1368	3587	8406
1369	3591	8407
1370	3593	8403
1371	3594	8397
1372	3596	8391
1373	3597	8386
1374	3598	8380
1375	3600	8375
1376	3601	8369
1377	3602	8364
1378	3606	8362
1379	3607	8357
1380	3608	8351
1381	3610	8346
1382	3611	8340
1383	3612	8334
1384	3613	8329
1385	3615	8323
1386	3616	8318
1387	3618	8313
1388	3621	8311
1389	3623	8306
1390	3624	8301
1391	3625	8295
1392	3626	8290
1393	3628	8285
1394	3630	8280
1395	3631	8274
1396	3632	8269
1397	3634	8263
1398	3637	8262
1399	3638	8257
1400	3640	8252
1401	3641	8246
1402	3642	8241
1403	3644	8236
1404	3645	8231
1405	3647	8227
1406	3649	8222
1407	3653	8222
1408	3654	8217
1409	3656	8212
1410	3658	8208
1411	3660	8204
1412	3661	8199
1413	3664	8198
1414	3666	8193
1415	3669	8192
1416	3672	8189
1417	3674	8186
1418	3676	8182
1419	3678	8178
1420	3680	8173
1421	3681	8167
1422	3686	8170
1423	3687	8165
1424	3689	8160
1425	3690	8155
1426	3692	8151
1427	3694	8147
1428	3697	8144
1429	3701	8146
1430	3703	8141
1431	3705	8138
1432	3708	8137
1433	3710	8133
1434	3712	8128
1435	3715	8128
1436	3718	8124
1437	3721	8122
1438	3722	8118
1439	3724	8112
1440	3725	8108
1441	3727	8103
1442	3729	8099
1443	3733	8100
1444	3735	8096
1445	3737	8092
1446	3739	8089
1447	3741	8084
1448	3743	8081
1449	3747	8082
1450	3749	8078
1451	3752	8075
1452	3753	8070
1453	3755	8067
1454	3757	8062
1455	3759	8058
1456	3762	8057
1457	3766	8056
1458	3768	8053
1459	3770	8048
1460	3771	8043
1461	3773	8039
1462	3775	8037
1463	3780	8038
1464	3781	8033
1465	3782	8027
1466	3784	8022
1467	3786	8018
1468	3787	8013
1469	3789	8010
1470	3791	8005
1471	3794	8004
1472	3796	8001
1473	3799	7998
1474	3801	7993
1475	3802	7988
1476	3804	7985
1477	3805	7979
1478	3807	7976
1479	3810	7974
1480	3812	7969
1481	3813	7964
1482	3816	7961
1483	3817	7957
1484	3819	7953
1485	3821	7949
1486	3824	7948
1487	3826	7943
1488	3828	7939
1489	3830	7935
1490	3831	7930
1491	3833	7926
1492	3834	7920
1493	3836	7916
1494	3837	7911
1495	3839	7907
1496	3842	7905
1497	3844	7901
1498	3845	7896
1499	3847	7892
1500	3849	7888
1501	3850	7882
1502	3851	7878
1503	3853	7873
1504	3854	7868
1505	3857	7865
1506	3858	7861
1507	3860	7857
1508	3862	7853
1509	3864	7848
1510	3865	7843
1511	3866	7838
1512	3868	7833
1513	3869	7829
1514	3872	7825
1515	3875	7824
1516	3876	7819
1517	3878	7814
1518	3879	7810
1519	3881	7805
1520	3882	7801
1521	3884	7797
1522	3886	7793
1523	3888	7789
1524	3889	7785
1525	3891	7780
1526	3893	7775
1527	3894	7771
1528	3895	7766
1529	3897	7761
1530	3898	7756
1531	3900	7751
1532	3901	7747
1533	3903	7743
1534	3905	7739
1535	3907	7735
1536	3908	7730
1537	3909	7725
1538	3910	7720
1539	3912	7715
1540	3913	7710
1541	3914	7705
1542	3916	7701
1543	3918	7696
1544	3920	7694
1545	3922	7689
1546	3923	7685
1547	3925	7680
1548	3926	7675
1549	3928	7671
1550	3929	7666
1551	3930	7661
1552	3932	7656
1553	3934	7653
1554	3935	7649
1555	3937	7644
1556	3938	7639
1557	3939	7634
1558	3941	7629
1559	3942	7625
1560	3944	7620
1561	3945	7616
1562	3947	7612
1563	3950	7609
1564	3952	7606
1565	3954	7603
1566	3955	7598
1567	3957	7594
1568	3958	7589
1569	3960	7584
1570	3961	7579
1571	3962	7575
1572	3964	7571
1573	3967	7570
1574	3969	7566
1575	3971	7561
1576	3972	7557
1577	3973	7552
1578	3975	7547
1579	3976	7543
1580	3978	7538
1581	3979	7534
1582	3981	7530
1583	3983	7526
1584	3984	7522
1585	3986	7517
1586	3987	7512
1587	3988	7507
1588	3990	7503
1589	3991	7499
1590	3993	7494
1591	3994	7490
1592	3997	7488
1593	3999	7483
1594	4000	7478
1595	4001	7474
1596	4002	7469
1597	4004	7465
1598	4005	7460
1599	4007	7455
1600	4008	7451
1601	4010	7447
1602	4012	7444
1603	4014	7440
1604	4015	7436
1605	4017	7431
1606	4018	7426
1607	4019	7422
1608	4021	7417
1609	4022	7412
1610	4023	7408
1611	4025	7403
1612	4027	7399
1613	4029	7396
1614	4030	7391
1615	4031	7387
1616	4033	7382
1617	4034	7378
1618	4035	7373
1619	4037	7368
1620	4038	7364
1621	4040	7360
1622	4041	7356
1623	4043	7352
1624	4045	7349
1625	4047	7345
1626	4049	7342
1627	4051	7338
1628	4053	7335
1629	4055	7332
1630	4057	7329
1631	4059	7325
1632	4062	7324
1633	4064	7320
1634	4065	7315
1635	4066	7310
1636	4067	7305
1637	4069	7301
1638	4070	7296
1639	4071	7292
1640	4073	7287
1641	4076	7286
1642	4077	7281
1643	4079	7277
1644	4080	7272
1645	4081	7268
1646	4083	7263
1647	4084	7259
1648	4085	7254
1649	4087	7250
1650	4089	7246
1651	4090	7243
1652	4092	7239
1653	4094	7235
1654	4095	7231
1655	4096	7226
1656	4098	7221
1657	4099	7217
1658	4100	7213
1659	4102	7208
1660	4103	7204
1661	4105	7200
1662	4108	7198
1663	4109	7194
1664	4111	7190
1665	4112	7185
1666	4114	7181
1667	4115	7177
1668	4116	7172
1669	4117	7167
1670	4118	7163
1671	4120	7158
1672	4122	7155
1673	4124	7152
1674	4126	7148
1675	4127	7144
1676	4128	7139
1677	4129	7135
1678	4131	7130
1679	4132	7126
1680	4134	7122
1681	4135	7118
1682	4139	7117
1683	4142	7116
1684	4144	7112
